id,question,reponse,categorie
101,5. Les risques des grossesses rapprochées,"Si vous venez de donner naissance à un enfant et que vous envisagez déjà une nouvelle grossesse, sachez qu’il estpréférable d'attendre au moins 18 moisavant de réessayer. En effet, votre corps a besoin de temps pour se remettre de l'accouchement, et tomber enceinte avant ce délaipeut augmenter le risque d'accouchement prématuré.Si vous avez plus de 35 ans, si vous avez fait une fausse-couche ou si vous avez accouché d'un enfant mort-né, demandez à votre médecin quel délai est préférable avant d'essayer d'être enceinte à nouveau.",grossesse_prenatale
102,"Le liquide amniotique, un rôle essentiel","Leliquide amniotiqueest ce qui remplit la poche des eaux, dans laquelle va se développer bébé. Il a pour mission de le protéger contre les chocs, les différences de température, les bruits… C’est une sorte de cocon protecteur, mais aussi et surtout une interface de communication avec le monde.
Grâce à lui, ses sens se développent, notamment le goût. A partir de la 13ème semaine, le bébé avale et inhale en permanence ce liquide légèrement sucré et composé de molécules aromatiques : ainsi débute l’éveil du goût de votre bébé.
… par les émotions.Très tôt, unlien psychosensorielse tisse entre vous et votre bébé. Il perçoit vos mouvements, s’habitue à votre façon de parler et de bouger… Mais il ressent aussi l’ambiance générale, les effets du stress et des chocs émotifs que vous vivez, via la production de substances comme le cortisol et l’adrénaline. C’est pourquoi il est essentiel de vous détendre, et d’éviter toute source de stress.
… par l’alimentation.Lorsque vous mangez, les molécules aromatiques des aliments passent dans votre sang et parviennent à votre bébé par le placenta ou le liquide amniotique. Dès le 5ème mois de grossesse, il est capable demémoriser ces goûts.Alors mangez varié, et faites-vous plaisir en mangeant : c’est excellent pour le développement de votre bébé !
… par les gestes.Le sens du toucher se développe très tôt, et votre bébé est capable de ressentir les pressions et les caresses exercées sur le ventre. A partir de 6 mois de grossesse, il développe lui-même ses sensations en suçant son pouce, en attrapant ses pieds… De plus en plus réactif à vos caresses, il y réagit. C’est d’ailleurs le but de l’haptonomie.
… par le bruit.A partir du 6ème mois, votre bébé est capable de percevoir de nombreux bruits de la vie quotidienne : votre voix, celle de son papa, la musique, les battements de votre cœur… Il commence à y réagir par des mouvements ou des accélérations du rythme cardiaque. Parlez-lui, faites-lui écouter de la musique : il va adorer !
Votre bébé s’ouvre au monde très tôt. Mais ses organes sensoriels et son cerveau sont encore en pleine maturation. Vous pouvez donc le stimuler, mais inutile d’en faire trop! Il aura toute la vie pour prendre goût à la musique…",grossesse_prenatale
103,Mon lien avec bébé se construit au fil des semaines…,"… par les émotions.Très tôt, unlien psychosensorielse tisse entre vous et votre bébé. Il perçoit vos mouvements, s’habitue à votre façon de parler et de bouger… Mais il ressent aussi l’ambiance générale, les effets du stress et des chocs émotifs que vous vivez, via la production de substances comme le cortisol et l’adrénaline. C’est pourquoi il est essentiel de vous détendre, et d’éviter toute source de stress.
… par l’alimentation.Lorsque vous mangez, les molécules aromatiques des aliments passent dans votre sang et parviennent à votre bébé par le placenta ou le liquide amniotique. Dès le 5ème mois de grossesse, il est capable demémoriser ces goûts.Alors mangez varié, et faites-vous plaisir en mangeant : c’est excellent pour le développement de votre bébé !
… par les gestes.Le sens du toucher se développe très tôt, et votre bébé est capable de ressentir les pressions et les caresses exercées sur le ventre. A partir de 6 mois de grossesse, il développe lui-même ses sensations en suçant son pouce, en attrapant ses pieds… De plus en plus réactif à vos caresses, il y réagit. C’est d’ailleurs le but de l’haptonomie.
… par le bruit.A partir du 6ème mois, votre bébé est capable de percevoir de nombreux bruits de la vie quotidienne : votre voix, celle de son papa, la musique, les battements de votre cœur… Il commence à y réagir par des mouvements ou des accélérations du rythme cardiaque. Parlez-lui, faites-lui écouter de la musique : il va adorer !
Votre bébé s’ouvre au monde très tôt. Mais ses organes sensoriels et son cerveau sont encore en pleine maturation. Vous pouvez donc le stimuler, mais inutile d’en faire trop! Il aura toute la vie pour prendre goût à la musique…",grossesse_prenatale
104,L'échographie du 1er trimestre,"Une fois que vous savez que vous êtes enceinte, il faut prendre rendez-vous avec un gynécologue pour lepremier examen prénatal. Celui-ci est généralement organisé avant la fin du premier trimestre, souvententre la 7eet 10esemaine de votre grossesse. Pendant ce premier rendez-vous, le gynécologue examine votre état de santé général :poids, pression artérielle, rythme cardiaque, vos antécédents médicaux personnels et d’éventuelles maladies dans votre famille et dans celle de votre partenaire (diabète, hypertension artérielle, etc.). Sur la base des informations concernant vos dernières règles, le gynécologue peut calculer depuis combien de temps vous êtes enceinte et par conséquent égalementcalculer la date d’accouchement.
Des examens complémentaires seront également prévus :
Lors de l’échographie du premier trimestre (entre la 9eet 12esemaine, dite l’échographie de datation), vous pouvez voir pour la première fois les contours du corps de votre bébé. Les coûts de cette échographie sont entièrement remboursés par votre mutuelle ou votre assurance maladie. Si votre gynécologue ne dispose pas d’un échographe (appareil à échographie), vous serez dirigée vers l’hôpital. Cette échographie permet aussi de confirmer la durée de votre grossesse (et par conséquent, la date d’accouchement prévue).La mesure dite de la distance« tête-fesse »sera effectuée à cette occasion pour déterminer la date d’accouchement et on vérifiera aussi s’il s’agit éventuellement d’une grossesse multiple. Vous entendrez également battre le cœur de votre enfant pour la première fois.
Pour ceux qui le souhaitent, il est également possible de calculer la probabilité que votre bébé soit atteint d'une anomalie chromosomique (par exemple, le syndrome de Down). Pour ce faire, untest prénatal non invasif (NIPT)est effectué. Ce dépistage ne présente aucun risque pour vous en tant que mère et/ou pour votre bébé. Ce n'est que lorsque le dépistage est anormal que le test des villosités choriales ou l'amniocentèse sont proposés pour établir un diagnostic définitif.
Entre la 11eet la 14esemaine, l’on proposera auxfemmes de plus de 36 ansuntest combiné(une mesure de la clarté nucale par un examen échographique complétée d’un examen sanguin) en raison d’un risque plus élevé d’éventuelles anomalies.
Lors d’uneamniocentèse, l’on prélève à l’aide d’une aiguille un peu de liquide amniotique qui est ensuite analysé au laboratoire. Ce test permet de dépister certaines anomalies, comme la trisomie 21. Cet examen est conseillé lorsque l’un des parents a des antécédents familiaux héréditaires, lorsque la mère a 36 ans ou plus ou lorsque le test combiné a présenté un risque élevé d’éventuelles anomalies. Une amniocentèse peut seulement avoir lieuaprès la 16esemaine de grossesse.
Unebiopsie du trophoblaste, au cours de laquelle l’on prélève des cellules du placenta pour l’examen, peut être effectuée plus tôt, mais le résultat est moins sûr que celui d’une amniocentèse. Votre gynécologue peut vous donner plus d’informations sur ces examens.
Letest combiné, l’amniocentèse et la biopsie du trophoblastesont des examens qui constituent le « diagnostic prénatal ». Ils sont remboursés dès lors qu’il y a une indication médicale. La probabilité de faire une fausse couche après amniocentèse et/ou biopsie du trophoblaste représente moins de 1%. Après environ deux semaines, les résultats de l’examen sont connus. Enfin, votre gynécologue vous remettra un certificat dont vous aurez besoin, pour que votre employeur vous accorde votre congé de grossesse et de maternité.",grossesse_prenatale
105,L'échographie du 2e trimestre,"La deuxième échographie est prévuevers la 20esemaine de votre grossesseet elle aussi est entièrement remboursée par votre mutuelle ou votre assurance maladie. Cette échographie est également connue commel’échographie morphologique. Lors de cette échographie, on étudie et mesure en détail votre bébé et l’on détecte également d’éventuelles anomalies. Lors de cette échographie, il est généralement possible de voir le sexe de votre enfant – si vous le souhaitez bien entendu !",grossesse_prenatale
106,L'échographie du 3e trimestre,"Vers la 30esemaine, l’on peut encore prévoir une troisième échographie, la fameuseéchographie de croissance, pour analyser la position du bébé et celle du placenta. Toutefois, cette échographie n’est pas remboursée par toutes les mutuelles ou assurances maladie, notamment s’il n’existe pas d’indication médicale pour la faire.
Après le premier rendez-vous, votre gynécologue planifiera encore certains contrôles standards.Jusqu’à la 24esemaine, les contrôles sont prévus toutes lesquatre semaines,entre la 25eet la 30esemaine, toutes lestrois semaines,entre la 31eet la 36esemaine, toutes lesdeux semaines, puis,chaque semaine. Lors de ces contrôles, le gynécologue examine entre autres votre poids, votre pression artérielle, la position de votre utérus et le cœur de votre bébé.",grossesse_prenatale
107,Contrôles périodiques,"Après le premier rendez-vous, votre gynécologue planifiera encore certains contrôles standards.Jusqu’à la 24esemaine, les contrôles sont prévus toutes lesquatre semaines,entre la 25eet la 30esemaine, toutes lestrois semaines,entre la 31eet la 36esemaine, toutes lesdeux semaines, puis,chaque semaine. Lors de ces contrôles, le gynécologue examine entre autres votre poids, votre pression artérielle, la position de votre utérus et le cœur de votre bébé.",grossesse_prenatale
108,Développement du bébé à 31 semaines de grossesse (33 sa),"Votre bébé ne cesse de grandir. Maintenant que vous êtes enceinte de31 semaines, son poids représente la moitié du poids prévu à sa naissance, et il doit encore grandir de quelques centimètres. Entre-temps, il va se mettre dans la position qu'il aura au moment de l'accouchement : dans95 pour-centdes grossesses, le bébé se trouve avec la tête vers le bas lors de l'accouchement et l’arrière de sa tête pointe vers le ventre (présentation céphalique). La position dans laquelle se trouve l'enfant s'appelle« présentation »et elle sera déterminée lors de la prochaine échographie. Si, lors de cet examen, votre médecin constate que votre bébé n’est pas dans la bonne position - cela ne signifie pas pour autant qu'il y a un problème - il prendra des dispositions pour que la naissance de votre bébé se déroule bien et il envisagera peut-être de pratiquer une césarienne.
Si la taille de vos seins vous surprend, tenez compte du fait que votre corps se prépare àallaiter. Le grand moment arrive à grands pas ! Ne soyez pas étonnée si vous voyez apparaître parfois des taches jaunes sur votre chemisier ou T-shirt : c'est du« colostrum ». Vous serez peut-être surprise de voir que du colostrum s’écoule de vos seins, mais c'est bon signe. Cela signifie que vos seins sont prêts à nourrir votre enfant. Le colostrum, que votre enfant recevra dès sa naissance, contient tous les anticorps qui stimuleront son système immunitaire pour combattre des infections qui pourraient surgir dès les premiers jours. Les femmes ne produisent pas toutes du colostrum à ce stade. Si c'est le cas pour vous, vous pouvez protéger vos vêtements avec un soutien-gorge d'allaitement et y glisser descompresses. Ils sont disponibles dans les magasins d’articles de bébé, supermarché, pharmacies, etc.
Etant donné que votre bébé doit encore prendre plus au moins2 kilosd’ici sa naissance -en moyenne 200 grammes par semaine- il faudra adapter légèrement votre régime alimentaire. Cela ne signifie pas que vous devrez tout à coup absorber une énorme quantité de calories, mais vous devez bien veiller à manger suffisamment pour satisfaire à vos besoins en énergie et à ceux de votre bébé. Mangez beaucoup defruitset delégumes frais, de bonnesprotéines maigres, desproduits completset des« bonnes » graisses. C'est la meilleure façon de veiller à ce que votre bébé reçoive bien tous les nutriments dont il a besoin et d’empêcher dans le même temps qu'il prenne sur vos réserves au point que vous ne puissiez plus avancer.
La taille de la poitrine d'une femme n'a absolument rien à voir avec la qualité et la quantité du lait maternel. Encore une fois :il n'y a aucun lien !Même si vous avez une petite poitrine, vous ne devriez rencontrer aucun problème pour allaiter votre enfant. Une femme avec des petits seins ne produit pas moins de lait qu'une femme avec une grosse poitrine. La quantité de lait est déterminée par la quantité que boit votre bébé et par ses capacités de succion. En effet,tout dépend du bébé !",grossesse_prenatale
109,"Les jumeaux, un phénomène fascinant !","Dès la première échographie, le médecin peut détecter la présence de jumeaux. Les causes de la gémellité sont multiples : l’hérédité, l’âge, l’alimentation ou même la luminosité (cf encadré). Le recours de plus en plus fréquent aux traitements contre l’infertilité augmente aussi le nombre de grossesses multiples.
On distingue deux sortes de jumeaux :
Même si tout se passe parfaitement pour vous, votre grossesse est dite « à risques ».
Vous bénéficiez d’unsuivi médical plus pousséet plus régulier, avec :
Lors d’une grossesse gémellaire sans souci particulier, l’accouchement n’est pas très différent.
Attendre des jumeaux est avant tout une formidable aventure! N’hésitez pas à échanger votre expérience avec d’autres parents avant et après la naissance.",grossesse_prenatale
110,Une grossesse à risques ?,"Même si tout se passe parfaitement pour vous, votre grossesse est dite « à risques ».
Vous bénéficiez d’unsuivi médical plus pousséet plus régulier, avec :
Lors d’une grossesse gémellaire sans souci particulier, l’accouchement n’est pas très différent.
Attendre des jumeaux est avant tout une formidable aventure! N’hésitez pas à échanger votre expérience avec d’autres parents avant et après la naissance.",grossesse_prenatale
111,Deux fois plus de précautions…,"Lors d’une grossesse gémellaire sans souci particulier, l’accouchement n’est pas très différent.
Attendre des jumeaux est avant tout une formidable aventure! N’hésitez pas à échanger votre expérience avec d’autres parents avant et après la naissance.",grossesse_prenatale
112,L’accouchement de jumeaux,"Lors d’une grossesse gémellaire sans souci particulier, l’accouchement n’est pas très différent.
Attendre des jumeaux est avant tout une formidable aventure! N’hésitez pas à échanger votre expérience avec d’autres parents avant et après la naissance.",grossesse_prenatale
113,Où en est mon bébé ?,"Votre bébé prend desforces. Il pèse déjà en moyenne 335 g : c’est l’équivalent d’un pamplemousse ! Ses muscles – et donc ses mouvements – sont de plus en plus vigoureux. Et il en profite car il a beaucoup de place : il remue les bras et les jambes, se retourne, fait des galipettes.... Parfois même, il pousse ses pieds contre la paroi de votre utérus… et vous pouvez apercevoir unebosse sur votre ventre!
Le développement de son cerveau s’accélère : il dispose désormais de 12 à 14 milliards de cellules nerveuses. Il sera bientôt capable de mémoriser ses expériences sensorielles. Votre bébé est déjà sensible auxalimentsque vous mangez.
Sespoumonsaussi poursuivent leur maturation : bébé a des mouvements respiratoires de plus en plus fréquents mais encore irréguliers. Son pancréas commence à fabriquer de l’insuline, qui permet à votre bébé d’utiliser le sucre et les graisses pour sa croissance.
Durant ce mois-ci, vous allez réaliser la deuxième échographie : un moment magique où vous allez pouvoir admirer bébé sous toutes ses coutures et découvrir, si vous le souhaitez, son sexe ! S’il s’agit d’une fille, ses ovaires sont bien formés et contiennent des cellules primitives pour 6 millions d’œufs.
Votre prise de poids se poursuit. Si vous devez surveiller votre poids, préférez les viandes maigres et le poisson. Veillez à consommer suffisamment defibres(fruits, légumes, pain, pâtes et riz complets…) et à continuer de vous hydrater correctement, en buvant au moins 1,5 litre d’eau par jour.
Manger varié et équilibré est important pour profiter des atouts de tous les aliments mais aussi pour faire découvrir à votre bébé de nouveaux goûts.Son odorat et son goût peuvent désormais être stimulés :n’hésitez pas à le « guider » dans ses premières découvertes. Bientôt, il sera capable de les mémoriser.
A partir de la 17e ou 18e semaine de grossesse, lefluorest un minéral important pour la constitution des futures dents de lait de votre bébé. Une alimentation variée suffit généralement à couvrir ces nouveaux besoins. On en trouve dans les eaux minérales, le poisson, certains fruits et légumes (pommes, épinards, asperges…). Demandez l’avis de votre médecin en cas de doute.
Les goûts changent très souvent pendant la grossesse. Parfois l’eau pure vous attirera moins.
Bientôt le 6ème mois de grossesse : bébé et vous communiquez de plus en plus. Vous le sentez, et il est en interaction avec le monde extérieur : il est d'ailleurs habitué à vos préférences alimentaires.",grossesse_prenatale
114,Mes bons réflexes alimentaires,"Votre prise de poids se poursuit. Si vous devez surveiller votre poids, préférez les viandes maigres et le poisson. Veillez à consommer suffisamment defibres(fruits, légumes, pain, pâtes et riz complets…) et à continuer de vous hydrater correctement, en buvant au moins 1,5 litre d’eau par jour.
Manger varié et équilibré est important pour profiter des atouts de tous les aliments mais aussi pour faire découvrir à votre bébé de nouveaux goûts.Son odorat et son goût peuvent désormais être stimulés :n’hésitez pas à le « guider » dans ses premières découvertes. Bientôt, il sera capable de les mémoriser.
A partir de la 17e ou 18e semaine de grossesse, lefluorest un minéral important pour la constitution des futures dents de lait de votre bébé. Une alimentation variée suffit généralement à couvrir ces nouveaux besoins. On en trouve dans les eaux minérales, le poisson, certains fruits et légumes (pommes, épinards, asperges…). Demandez l’avis de votre médecin en cas de doute.
Les goûts changent très souvent pendant la grossesse. Parfois l’eau pure vous attirera moins.
Bientôt le 6ème mois de grossesse : bébé et vous communiquez de plus en plus. Vous le sentez, et il est en interaction avec le monde extérieur : il est d'ailleurs habitué à vos préférences alimentaires.",grossesse_prenatale
115,La question du mois : quels aliments privilégier pour soulager les jambes lourdes ?,"Les goûts changent très souvent pendant la grossesse. Parfois l’eau pure vous attirera moins.
Bientôt le 6ème mois de grossesse : bébé et vous communiquez de plus en plus. Vous le sentez, et il est en interaction avec le monde extérieur : il est d'ailleurs habitué à vos préférences alimentaires.",grossesse_prenatale
116,Une première rencontre forte en émotions,"Dès l’accouchement terminé, la sage-femme pose Bébé sur votre ventre. ""Félicitations ! C'est une magnifique petite fille !"" Premiers cris, premiers regards, premiers échanges… cette vague d'émotions restera gravée à jamais pour les nouveaux parents ! Niché dans la chaleur de votre poitrine, Bébé retrouve votre odeur, reconnaît votre voix et celle de son père, entend les battements de votre cœur, ressent vos caresses… il trouve ses premiers repères, et vous aussi.
Quelques minutes après la naissance, vient le moment de couper le cordon. Cette mission est le plus souvent confiée au papa. C’est un geste éminemment symbolique, mais rien ne l’y oblige ! Sachez que ce geste est indolore pour la maman et pour le bébé : pas d’inquiétudes donc.
Lapremière tétéepeut se faire avant même l’expulsion du placenta. Bébé va naturellement chercher votre sein (réflexe de fouissement) et chercher à le téter (réflexe de succion). Il vous faudra sûrement l’aider en le guidant vers votre mamelon. La sage-femme, elle, vous assistera afin de trouver la meilleure position pour vous et votre bébé, ainsi que les bons réflexes à adopter afin que l’allaitement se passe bien.
Dès sa naissance, Bébé est examiné soigneusement afin de contrôler sa bonne santé générale. Le personnel médical vérifie son rythme cardiaque, son tonus musculaire, ses réflexes, sa température, son poids, sa taille (votre bébé aura forcément des mensurations de rêve !), son périmètre crânien...
Tout est contrôlé dans les moindres détails ! Quelques fois les voies respiratoires doivent être désencombrées au moyen d’un tuyau très fin inséré dans son nez puis dans sa gorge: c’est un geste impressionnant, mais qui est indolore. Il aura déjà été soumis au fameux « test d’Apgar », afin de vérifier sa bonne vitalité.
Après ces différents soins, c’est le moment dupremier bain.Il est peut être donné par le papa, assisté par une puéricultrice : un moment très fort pour lui ! Il est ensuite habillé chaudement avant de rejoindre votre chambre.
La petite famille est réunie : profitez bien de ces premiers moments de calme… avant les nombreuses visites !",grossesse_prenatale
117,Les premiers soins,"Tout est contrôlé dans les moindres détails ! Quelques fois les voies respiratoires doivent être désencombrées au moyen d’un tuyau très fin inséré dans son nez puis dans sa gorge: c’est un geste impressionnant, mais qui est indolore. Il aura déjà été soumis au fameux « test d’Apgar », afin de vérifier sa bonne vitalité.
Après ces différents soins, c’est le moment dupremier bain.Il est peut être donné par le papa, assisté par une puéricultrice : un moment très fort pour lui ! Il est ensuite habillé chaudement avant de rejoindre votre chambre.
La petite famille est réunie : profitez bien de ces premiers moments de calme… avant les nombreuses visites !",grossesse_prenatale
118,À chaque trimestre sa spécificité,"Pendant la grossesse, la qualité et le rythme du sommeil se modifient. Lepremier trimestre, sous l’effet des hormones, est généralement marqué par une grande fatigue,quidonne l’envie à la maman de dormir en plein milieu de la journée. Audeuxième trimestre, les chosesrentrent souvent dans l’ordre. Letroisième trimestre,lui, est celui desinsomnieset desnuits agitées.Heureusement, il existe quelques solutions simples pour dormir à nouveau comme un bébé…
1. Détendez-vous! Lestroubles du sommeil sont souvent liés àl’anxiété,qui augmente à l’approche de l’accouchement. N’hésitez pas àen parler à votre médecinou à votre sage-femme, qui pourront vous rassurer. Certainscours de préparationà la naissance, comme lasophrologie, peuvent vous permettre demieux appréhender votre grossesseet d’être à l’écoute de votre corps.
2.Pourquoi ne paspratiquer un sport douxcomme leyoga? Souvent, les problèmes de sommeil sont liés à un manque d’activité. Cela permettra, en plus, de vous détendre. Vous pouvez également faire une petite promenade d’environ15 à 20 minutes avant d’aller dormir.
3. Autroisième trimestre,couchez-vous de préférence sur le côté gauche.Avec un ventre rond, c’est la position la plus confortable : ainsi, vous ne faites pas pression sur la veine cave située à droite de l’utérus.
4.Faites desrepas légerset faciles à digérer. Non aux produits riches en graisses.
5. Oubliez les boissons excitantescomme le café ou le thé! Et cela dès 16h ou 17h. À la place,privilégiez les tisanes aux vertus calmantes, comme la camomille par exemple, ou le lait tiède.
6.Ne vous lancez pas dans un grand rangement de l’appartement juste avant de vous coucher : cela risquerait de vous énerver !Préférez lesactivités calmes et relaxantes,comme un bain, un massage, un peu de lecture ou, si cela vous fait du bien, une petite promenade. À vous de trouver votre activité préférée ! Evitez par contre de vous avachir devant la télé : vous risquez de somnoler et de mal digérer.
7.Veillez à ce que votrechambresoitrangée et bien aérée: cela aide au sommeil !
8.Couchez-vous à heures régulières.C’est essentiel de donner des repères à votre organisme.
9.En journée, si vous le pouvez, n’hésitez pas à vous accorderune siested’une quinzaine de minutes. Cela ne vous empêchera pas de dormir le soir, rassurez-vous !
10.Si ces solutions ne fonctionnent pas,parlez-en à votre médecin: il pourra vous prescrire des calmants naturels à base de plantes.",grossesse_prenatale
119,Nos conseils pour une nuit apaisée,"1. Détendez-vous! Lestroubles du sommeil sont souvent liés àl’anxiété,qui augmente à l’approche de l’accouchement. N’hésitez pas àen parler à votre médecinou à votre sage-femme, qui pourront vous rassurer. Certainscours de préparationà la naissance, comme lasophrologie, peuvent vous permettre demieux appréhender votre grossesseet d’être à l’écoute de votre corps.
2.Pourquoi ne paspratiquer un sport douxcomme leyoga? Souvent, les problèmes de sommeil sont liés à un manque d’activité. Cela permettra, en plus, de vous détendre. Vous pouvez également faire une petite promenade d’environ15 à 20 minutes avant d’aller dormir.
3. Autroisième trimestre,couchez-vous de préférence sur le côté gauche.Avec un ventre rond, c’est la position la plus confortable : ainsi, vous ne faites pas pression sur la veine cave située à droite de l’utérus.
4.Faites desrepas légerset faciles à digérer. Non aux produits riches en graisses.
5. Oubliez les boissons excitantescomme le café ou le thé! Et cela dès 16h ou 17h. À la place,privilégiez les tisanes aux vertus calmantes, comme la camomille par exemple, ou le lait tiède.
6.Ne vous lancez pas dans un grand rangement de l’appartement juste avant de vous coucher : cela risquerait de vous énerver !Préférez lesactivités calmes et relaxantes,comme un bain, un massage, un peu de lecture ou, si cela vous fait du bien, une petite promenade. À vous de trouver votre activité préférée ! Evitez par contre de vous avachir devant la télé : vous risquez de somnoler et de mal digérer.
7.Veillez à ce que votrechambresoitrangée et bien aérée: cela aide au sommeil !
8.Couchez-vous à heures régulières.C’est essentiel de donner des repères à votre organisme.
9.En journée, si vous le pouvez, n’hésitez pas à vous accorderune siested’une quinzaine de minutes. Cela ne vous empêchera pas de dormir le soir, rassurez-vous !
10.Si ces solutions ne fonctionnent pas,parlez-en à votre médecin: il pourra vous prescrire des calmants naturels à base de plantes.",grossesse_prenatale
120,Développement du bébé à 3 semaines de grossesse (5 sa),"Le cœur de votre bébé bat déjà, même si vous n'êtes enceinte que de3 semaines! L’embryon qui deviendra votre bébé plus tard, a la taille d'ungrain de rizpour l’instant et va se nicher dans l'utérus. Avant cela, les hormones ont préparé votre utérus à accueillir l'ovule fécondé. L'ovule mature se dirige vers l'une des trompes de Fallope pour y être fécondé. Une fois fécondé, il aboutit dans l'utérus pour s'y nicher. L'ovule fécondé a 3 couches de cellules, appeléesfeuillets, qui constituent ledisque embryonnaire. Les différentes parties du corps de votre bébé seront formées à partir d'ici et c'est quelque chose d’impressionnant. Du feuillet interne (l'endoderme) seront formés les organes du tube digestif, le foie, le pancréas et les organes des voies respiratoires. Du feuillet extérieur (l'ectoderme) seront formés le système nerveux et les organes y afférents, ainsi que la peau, les ongles et les cheveux. Du troisième feuillet (lemésoderme) seront formés la majorité du squelette, le cœur, les voies urinaires et les organes génitaux. Ceci comprend l'épine dorsale qui servira de colonne vertébrale temporaire et de base pour le système nerveux central, le cerveau et la tête. Le diamètre de cette épine est équivalent environ à la taille d'un cheveu humain !
Vous n'avez pas eu vos règles au moment prévu et vous avez décidé de faire un test de grossesse qui était positif. Félicitations ! Une magnifique aventure commence, l'une des plus belles de votre vie. Bien entendu, rien n’est encore visible et vous n'aurezpas de vrais symptômesà 3 semaines de grossesse, mais cela ne va pas durer longtemps.
Il est plus que jamais important que vous preniez bien soin de vous et que vous fassiez attention à ce que vous mangez. La toute première question que vous allez vous poser sera :« Dois-je manger pour deux maintenant ? » Non, les femmes enceintes ne doivent pas manger « pour deux » ou deux fois plus que d'habitude. En principe, la règle est : ce qui est bon pour votre bébé, l’est aussi pour vous. Mais, il faut bien choisir les produits alimentaires qui contiennent tous les nutriments essentiels. L'acide foliqueest très important pour le développement de l’embryon. On en trouve dans les légumes à feuille verte. Il est néanmoins conseillé d’avoir un apport supplémentaire de400 microgrammesd'acide folique par jour, dès le début de la grossesse et pendant les 10 premières semaines. Cet apport d'acide foliqueréduira le risque de malformations pour le bébételles que le spina bifida, la fente labiale et la fente palatine. Prenez également10 microgrammesdevitamine Dpar jour pendant votre grossesse, cela fortifiera les os de votre bébé. La vitamine D est nécessaire pour absorber le calcium présent dans l'alimentation.
Certains aliments doivent être évitésau cours de votre grossesse. Le poisson cru, les crustacés et les mollusques, peuvent contenir des substances toxiques qui présentent un risque pour l’embryon. Les viandes, et notamment la volaille ainsi que les œufs insuffisamment cuits, peuvent contenir des bactéries dangereuses pour votre bébé. Lavez bien vos légumes et évitez de manger des plats ou des sauces préparées à base d’œufs crus.",grossesse_prenatale
121,Développement du bébé à 4 semaines de grossesse (6 sa),"Votre bébé va commencer un séjour de longue durée. Le liquide amniotique et le placenta sont en train de se former, et l'ovule fécondé, niché dans l’utérus, atteint maintenant 2 mm de diamètre ! Lorsque vous êtes enceinte de4 semaines, le développement embryonnaire connaît une étape importante nomméeorganogenèse. L’ébauche de nombreux organes de votre bébé commence à se faire, et notamment l’appareil circulatoire. À la fin de la quatrième semaine, votre bébé a l’aspect d’unepetite virguleflottant dans le liquide amniotique. Il est étonnant de constater que, depuis la conception, le poids de l’embryon a déjà été multiplié par10.000!
Vous êtes enceinte de4 semaines. Cette minuscule petite graine est devenue bien visible et ce après que la première cellule se soit divisée des centaines de fois. L'embryon va quitter la trompe de Fallope pour entrer dans l’utérus. Cet événement va déclencher uneforte sécrétion d'hormones, nécessaires au développement de votre bébé. Ces hormones empêcheront également le retour de vos règles pendant votre grossesse et elles vont contribuer à la formation du placenta.Que fait le placenta ?Le placenta fournit l'oxygène et les nutriments à votre bébé et il le protège contre de nombreuses bactéries et substances nocives. Toutefois, le placenta ne protège pas contre toutes les substances nocives – donc, si vous n'avez pas encorearrêté de fumer, c'est le moment de le faire !
Tout le monde dit qu'il est important de«manger sainement»pendant la grossesse, ce qui reste, une consigne assez vague. En règle générale, il faut surtout faire attention à laqualitéde votre alimentation - cela vous aidera àadopter de bonnes habitudes alimentairesen début de grossesse. Accordez également une attention particulière à la préparation de votre repas pour empêcher touteintoxication alimentaire, tant pour vous-même que pour votre bébé. Mangez votre viande bien cuite, ne mangez pas un steak tartare cru ou de viande insuffisamment cuite. Lavez-vous bien les mains après avoir jardiné, après avoir nourri les animaux domestiques et chaque fois que vous allez cuisiner. Lavez bien vos légumes et vos fruits. Si vous avez le temps de le faire, nettoyez régulièrement le réfrigérateur avec de l'eau chaude, du savon, et un détergent désinfectant. Évitez de manger des restants de nourriture dans lesquels les bactéries auraient pu proliférer. Avec ces mesures de précaution, vous pourrez être sûre que votre bébé et vous restez en bonne santé !!!
Est-ce une bonne idée de prendre des compléments devitamines et de minérauxau cours de la grossesse ? Dans le monde médical, tout le monde s'accorde pour dire que le besoin en  vitamines et en minéraux est normalement couvert par un régime alimentaire équilibré. Toutefois, dans la réalité, beaucoup de femmes suivent un régime déséquilibré. En outre, les besoins des femmes enceintes enfer,calcium,vitamine Detacide foliquesont généralement élevés. Il est néanmoins conseillé d’avoir unapport supplémentairede400 microgrammes d'acide foliquepar jour, dès le début de la grossesse et pendant les 10 premières semaines. Cet apport d'acide folique réduira le risque de malformations pour le bébé telles que le spina bifida, la fente labiale et la fente palatine. Prenez également10 microgrammes de vitamine Dpar jour pendant votre grossesse, cela fortifiera les os de votre bébé. La vitamine D est nécessaire pour absorber le calcium présent dans l'alimentation.
À propos, avez-vous déjà consulté votre gynécologue ? Avant la fin du deuxième mois, la première visite est programmée et vous prendrez rendez-vous pour votrepremière échographie, qui aura lieu vers la 12e semaine.",grossesse_prenatale
